code,canopy_pos,N,C,code_two,ever_dec,type,long,lat,age,dbh
CB,M,2.74,45.68,CB,Evergreen,Alien,55.964767,-3.207967,17,4.3
CB,M,2.78,46.40,CB,Evergreen,Alien,55.964767,-3.207967,17,4.3
CB,U,2.14,50.24,CB,Evergreen,Alien,55.964767,-3.207967,17,4.3
QC,M,2.90,49.24,Naturalised,Evergreen,Naturalised,55.96545,-3.2121,54,76
QC,U,2.58,49.72,Naturalised,Evergreen,Naturalised,55.96545,-3.2121,54,76
QI,U,2.69,48.56,Naturalised,Evergreen,Naturalised,55.976867,-3.168267,54,131
QI,M,1.73,49.84,Naturalised,Evergreen,Naturalised,55.976867,-3.168267,54,131
QI,M,1.73,49.60,Naturalised,Evergreen,Naturalised,55.976867,-3.168267,54,131
RPS,M,4.30,47.16,RPS,Deciduous,Alien,55.9659,-3.211483,120,75
RPS,M,4.31,46.87,RPS,Deciduous,Alien,55.9659,-3.211483,120,75
RPS,U,6.90,47.96,RPS,Deciduous,Alien,55.9659,-3.211483,120,75
RPS,U,6.91,47.83,RPS,Deciduous,Alien,55.9659,-3.211483,120,75
RP,U,1.34,48.22,Invasive,Evergreen,Invasive,55.96655,-3.209983,46,11
RP,M,1.27,49.78,Invasive,Evergreen,Invasive,55.96655,-3.209983,46,11
RP,M,1.34,52.94,Invasive,Evergreen,Invasive,55.96655,-3.209983,46,11
AG,M,2.80,48.59,Native,Deciduous,Native,55.980617,-3.208083,55,68
AG,M,3.00,51.95,Native,Deciduous,Native,55.980617,-3.208083,55,68
AG,U,3.03,48.20,Native,Deciduous,Native,55.980617,-3.208083,55,68
AG,U,3.03,48.36,Native,Deciduous,Native,55.980617,-3.208083,55,68
BP,M,1.97,50.09,Native,Deciduous,Native,55.963467,-3.208183,60,30
BP,U,2.20,49.85,Native,Deciduous,Native,55.963467,-3.208183,60,30
BPS,M,2.09,47.56,Native,Deciduous,Native,55.96365,-3.208167,47,27.5
BPS,U,2.12,48.86,Native,Deciduous,Native,55.96365,-3.208167,47,27.5
CA,U,2.06,47.31,Native,Deciduous,Native,55.963817,-3.208217,120,26.5
CA,M,1.88,47.06,Native,Deciduous,Native,55.963817,-3.208217,120,26.5
CA,M,1.87,46.90,Native,Deciduous,Native,55.963817,-3.208217,120,26.5
CM,M,1.66,46.94,Native,Deciduous,Native,55.966417,-3.212567,19,8
