code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
CB,CB,Cotoneaster bullatus,Alien,Evergreen,55.964767,-3.207967,17,4.3,U,47.7,103.8602,0.2684,12.4,-0.78,4.19,83.48,
CB,CB,Cotoneaster bullatus,Alien,Evergreen,55.964767,-3.207967,17,4.3,U,47.7,93.0271,0.3071,10.95,-0.19,6.13,80.85,
CB,CB,Cotoneaster bullatus,Alien,Evergreen,55.964767,-3.207967,17,4.3,U,48.6,97.6425,0.1448,11.35,-0.29,5.64,97.84,
CB,CB,Cotoneaster bullatus,Alien,Evergreen,55.964767,-3.207967,17,4.3,L,63.8,80.2682,0.5061,10.38,0.19,4.65,94.81,
CB,CB,Cotoneaster bullatus,Alien,Evergreen,55.964767,-3.207967,17,4.3,L,60.1,76.4573,0.3996,7.03,-0.04,5.95,97.98,
CB,CB,Cotoneaster bullatus,Alien,Evergreen,55.964767,-3.207967,17,4.3,L,60.1,77.3469,0.4238,9.14,-0.28,4.88,96.18,
RP,Invasive,Rhododendron ponticum,Invasive,Evergreen,55.96655,-3.209983,46,11,U,58,84.1799,0.4601,16.72,0.35,5.3,83.45,
RP,Invasive,Rhododendron ponticum,Invasive,Evergreen,55.96655,-3.209983,46,11,U,56.3,81.4563,0.4903,14.19,-0.04,4.95,98.36,
RP,Invasive,Rhododendron ponticum,Invasive,Evergreen,55.96655,-3.209983,46,11,U,57.5,78.2989,0.4991,15.94,0.26,5.73,82.33,
RP,Invasive,Rhododendron ponticum,Invasive,Evergreen,55.96655,-3.209983,46,11,L,65.7,96.6524,0.4169,15.46,-0.11,5.64,77.21,
RP,Invasive,Rhododendron ponticum,Invasive,Evergreen,55.96655,-3.209983,46,11,L,64.1,92.053,0.5133,13.64,-0.27,6.84,79.95,
RP,Invasive,Rhododendron ponticum,Invasive,Evergreen,55.96655,-3.209983,46,11,L,64.2,89.2842,0.5925,13.53,-0.07,6.77,94.14,
AG,Native,Alnus glutinosa,Native,Deciduous,55.96662,-3.208083,55,68,U,50.5,63.6801,0.3631,15.76,-0.34,7.68,76.15,
AG,Native,Alnus glutinosa,Native,Deciduous,55.96662,-3.208083,55,68,U,50,65.5397,0.387,-0.12,-0.37,3.27,35.2,leaves_dead
AG,Native,Alnus glutinosa,Native,Deciduous,55.96662,-3.208083,55,68,U,50.4,64.0598,0.4942,15.66,-0.44,5.98,70.25,
AG,Native,Alnus glutinosa,Native,Deciduous,55.96662,-3.208083,55,68,L,42.7,69.4429,0.324,13.06,0.06,5.51,79.91,
AG,Native,Alnus glutinosa,Native,Deciduous,55.96662,-3.208083,55,68,L,48.3,64.0459,0.3536,12.46,0.01,7.35,72.04,
AG,Native,Alnus glutinosa,Native,Deciduous,55.96662,-3.208083,55,68,L,43.1,68.809,0.3414,-0.35,-0.05,3.11,46.18,leaves_dead
BP,Native,Betula pendula,Native,Deciduous,55.963467,-3.208183,60,30,U,38.9,67.182,0.3767,15.49,-1.19,4.28,80.01,
BP,Native,Betula pendula,Native,Deciduous,55.963467,-3.208183,60,30,U,38.4,68.1443,0.459,13.92,-1.29,4.6,81.07,
